ponto	planta 	folhas	frutos 	botoes	caule	flores	masculino	feminino	florestotal	galhascaul	nflores	ntotalflores	massatotal	area_construida	solo_exposto	pastagem	agricultura	vegetacao	probgal
P1	B1	7.599	1.321	0.588	6.595	0.13	0.0284	0.0232	0.1816	2	7	38	17.4106	5.916	1.084	0	0	0	1
P1	B2	9.711	2.265	0.75	17.86	0.094	0.0249	0.02	0.1389	14	3	8	31.3579	5.916	1.084	0	0	0	1
P1	B3	10.428	1.901	1.421	17.974	0.2642	0.0455	0.0634	0.3731	11	20	25	32.5901	5.916	1.084	0	0	0	1
P1	B4	3.405	1.354	0.433	3.51	0.1337	0.0282	0.027	0.1889	4	10	15	10.0189	5.916	1.084	0	0	0	1
P1	B5	7.309	1.308	0.719	9.452	0.1073	0.0244	0.0177	0.1494	4	7	12	19.8554	5.916	1.084	0	0	0	1
P1	L1	7.005	1.54	0.575	8.482	0.0973	0.0166	0.0233	0.1372	0	6	11	18.5692	5.916	1.084	0	0	0	0
P1	L2	7.828	1.727	0.961	13.405	0.0585	0.0158	0.0138	0.0881	1	5	10	24.5121	5.916	1.084	0	0	0	1
P1	L3	16.04	2.964	1.78	21.149	0.2378	0.0411	0.0568	0.3357	3	15	20	43.3227	5.916	1.084	0	0	0	1
P1	L4	13.364	2.018	0.695	11.299	0.1447	0.0223	0.0407	0.2077	4	6	11	27.9327	5.916	1.084	0	0	0	1
P1	L5	8.809	2.764	0.779	14.192	0.0821	0.0158	0.0151	0.113	4	7	12	28.017	5.916	1.084	0	0	0	1
P2	B1	5.186	7.952	0.267	8.789	0.0929	0.0216	0.0292	0.1437	3	7	12	23.5517	2.191	0.58	2.175	2.054	0	1
P2	B2	42.249	12.104	3.77	67.282	0.5074	0.0747	0.1123	0.6944	10	37	42	126.7864	2.191	0.58	2.175	2.054	0	1
P2	B3	13.68	2.17	0.805	14.9	0.156	0.0257	0.0052	0.1869	0	10	15	32.6709	2.191	0.58	2.175	2.054	0	0
P2	B4	23.893	                    NA	1.622	38.142	0.2909	0.0391	0.0535	0.3835	0	18	23	66.2195	2.191	0.58	2.175	2.054	0	0
P2	B5	20.908	4.642	2.383	72.999	0.2204	0.0288	0.0416	0.2908	11	18	23	101.8588	2.191	0.58	2.175	2.054	0	1
P2	L1	6.668	1.387	0.873	16.227	0.0482	0.0078	0.0128	0.0688	4	5	10	27.2508	2.191	0.58	2.175	2.054	0	1
P2	L2	17.623	2.619	0.823	22.899	0.1323	0.0219	0.0297	0.1839	5	11	16	45.0199	2.191	0.58	2.175	2.054	0	1
P2	L3	9.804	1.178	1.633	14.548	0.2406	0.0407	0.0612	0.3425	0	15	20	28.9245	2.191	0.58	2.175	2.054	0	0
P2	L4	33.765	3.367	2.138	57.116	0.3923	0.0518	0.0806	0.5247	16	18	23	97.9117	2.191	0.58	2.175	2.054	0	1
P2	L5	27.97	0.789	2.475	28.192	0.1376	0.021	0.0168	0.1754	5	7	12	61.1024	2.191	0.58	2.175	2.054	0	1
P3	B1	14.118	2.937	1.816	35.26	0.2958	0.0382	0.0076	0.3416	13	24	29	54.8936	2.263	0.78	2.363	0.24	1.354	1
P3	B2	4.152	1.62	0.54	7.18	0.0823	0.0133	0.0125	0.1081	7	10	15	14.2291	2.263	0.78	2.363	0.24	1.354	1
P3	B3	10.605	2.406	1.206	30.345	0.2095	0.0241	0.0032	0.2368	6	16	21	45.2188	2.263	0.78	2.363	0.24	1.354	1
P3	B4	8.461	2.696	0.946	9.908	0.097	0.0075	0.0134	0.1179	3	6	11	23.0609	2.263	0.78	2.363	0.24	1.354	1
P3	B5	21.226	3.45	1.95	21.718	0.7257	0.0096	0.0714	0.8067	10	40	45	50.3107	2.263	0.78	2.363	0.24	1.354	1
P3	L1	10.966	4.269	1.726	19.182	0.2074	0.02	0.033	0.2604	14	13	18	37.1554	2.263	0.78	2.363	0.24	1.354	1
P3	L2	6.211	1.511	0.637	12.006	0.0313	0.0019	0.0032	0.0364	4	3	8	20.7714	2.263	0.78	2.363	0.24	1.354	1
